Memory Storage,Baseline,Test Spreadsheet,Run,Total time of refreshing the cache (ms)
DB,TACO,enron_max1.xls,RUN1,146
DB,TACO,enron_max1.xls,RUN2,155
DB,TACO,enron_max1.xls,RUN3,173
DB,NoComp,enron_max1.xls,RUN1,870
DB,NoComp,enron_max1.xls,RUN2,870
DB,NoComp,enron_max1.xls,RUN3,906
,Antifreeze,enron_max1.xls,,10000000
DB,TACO,enron_max2.xls,RUN1,244
DB,TACO,enron_max2.xls,RUN2,229
DB,TACO,enron_max2.xls,RUN3,225
DB,NoComp,enron_max2.xls,RUN1,228
DB,NoComp,enron_max2.xls,RUN2,234
DB,NoComp,enron_max2.xls,RUN3,247
,Antifreeze,enron_max2.xls,,10000000
DB,TACO,enron_max3.xls,RUN1,171
DB,TACO,enron_max3.xls,RUN2,180
DB,TACO,enron_max3.xls,RUN3,169
DB,NoComp,enron_max3.xls,RUN1,450
DB,NoComp,enron_max3.xls,RUN2,253
DB,NoComp,enron_max3.xls,RUN3,234
,Antifreeze,enron_max3.xls,,10000000
DB,TACO,enron_max4.xls,RUN1,146
DB,TACO,enron_max4.xls,RUN2,139
DB,TACO,enron_max4.xls,RUN3,153
DB,NoComp,enron_max4.xls,RUN1,857
DB,NoComp,enron_max4.xls,RUN2,829
DB,NoComp,enron_max4.xls,RUN3,860
,Antifreeze,enron_max4.xls,,10000000
DB,TACO,enron_max5.xls,RUN1,157
DB,TACO,enron_max5.xls,RUN2,147
DB,TACO,enron_max5.xls,RUN3,174
DB,NoComp,enron_max5.xls,RUN1,291
DB,NoComp,enron_max5.xls,RUN2,301
DB,NoComp,enron_max5.xls,RUN3,299
,Antifreeze,enron_max5.xls,,10000000
DB,TACO,enron_long1.xls,RUN1,55
DB,TACO,enron_long1.xls,RUN2,53
DB,TACO,enron_long1.xls,RUN3,47
DB,NoComp,enron_long1.xls,RUN1,927
DB,NoComp,enron_long1.xls,RUN2,1654
DB,NoComp,enron_long1.xls,RUN3,972
,Antifreeze,enron_long1.xls,,10000000
DB,TACO,enron_long2.xls,RUN1,41
DB,TACO,enron_long2.xls,RUN2,41
DB,TACO,enron_long2.xls,RUN3,40
DB,NoComp,enron_long2.xls,RUN1,802
DB,NoComp,enron_long2.xls,RUN2,793
DB,NoComp,enron_long2.xls,RUN3,1301
DB,Antifreeze,enron_long2.xls,RUN1,69038
DB,Antifreeze,enron_long2.xls,RUN2,72785
DB,Antifreeze,enron_long2.xls,RUN3,69587
DB,TACO,enron_long3.xls,RUN1,64
DB,TACO,enron_long3.xls,RUN2,70
DB,TACO,enron_long3.xls,RUN3,101
DB,NoComp,enron_long3.xls,RUN1,878
DB,NoComp,enron_long3.xls,RUN2,882
DB,NoComp,enron_long3.xls,RUN3,1011
DB,Antifreeze,enron_long3.xls,RUN1,113513
DB,Antifreeze,enron_long3.xls,RUN2,126468
DB,Antifreeze,enron_long3.xls,RUN3,126095
DB,TACO,github_max1.xlsx,RUN1,1252
DB,TACO,github_max1.xlsx,RUN2,1212
DB,TACO,github_max1.xlsx,RUN3,1200
,NoComp,github_max1.xlsx,,100000000
,Antifreeze,github_max1.xlsx,,10000000
DB,TACO,github_max2.xlsx,RUN1,52
DB,TACO,github_max2.xlsx,RUN2,44
DB,TACO,github_max2.xlsx,RUN3,35
DB,NoComp,github_max2.xlsx,RUN1,928
DB,NoComp,github_max2.xlsx,RUN2,812
DB,NoComp,github_max2.xlsx,RUN3,1025
,Antifreeze,github_max2.xlsx,,10000000
DB,TACO,github_max3.xlsx,RUN1,42
DB,TACO,github_max3.xlsx,RUN2,47
DB,TACO,github_max3.xlsx,RUN3,42
DB,NoComp,github_max3.xlsx,RUN1,898
DB,NoComp,github_max3.xlsx,RUN2,1113
DB,NoComp,github_max3.xlsx,RUN3,868
,Antifreeze,github_max3.xlsx,,10000000
DB,TACO,github_max4.xlsx,RUN1,24
DB,TACO,github_max4.xlsx,RUN2,24
DB,TACO,github_max4.xlsx,RUN3,25
DB,NoComp,github_max4.xlsx,RUN1,859
DB,NoComp,github_max4.xlsx,RUN2,847
DB,NoComp,github_max4.xlsx,RUN3,813
,Antifreeze,github_max4.xlsx,,10000000
DB,TACO,github_max5.xlsx,RUN1,27
DB,TACO,github_max5.xlsx,RUN2,27
DB,TACO,github_max5.xlsx,RUN3,29
DB,NoComp,github_max5.xlsx,RUN1,897
DB,NoComp,github_max5.xlsx,RUN2,826
DB,NoComp,github_max5.xlsx,RUN3,819
,Antifreeze,github_max5.xlsx,,10000000
DB,TACO,github_long1.xlsx,RUN1,38
DB,TACO,github_long1.xlsx,RUN2,41
DB,TACO,github_long1.xlsx,RUN3,48
,NoComp,github_long1.xlsx,,100000000
,Antifreeze,github_long1.xlsx,,10000000
DB,TACO,github_long2.xlsx,RUN1,28
DB,TACO,github_long2.xlsx,RUN2,30
DB,TACO,github_long2.xlsx,RUN3,21
DB,NoComp,github_long2.xlsx,RUN1,821
DB,NoComp,github_long2.xlsx,RUN2,770
DB,NoComp,github_long2.xlsx,RUN3,978
,Antifreeze,github_long2.xlsx,,10000000
DB,TACO,github_long3.xlsx,RUN1,26
DB,TACO,github_long3.xlsx,RUN2,26
DB,TACO,github_long3.xlsx,RUN3,21
DB,NoComp,github_long3.xlsx,RUN1,759
DB,NoComp,github_long3.xlsx,RUN2,813
DB,NoComp,github_long3.xlsx,RUN3,742
,Antifreeze,github_long3.xlsx,,10000000
